ruta,metodo,archivo,linea,depends,usa_request,auth,tenant_check,rate_limit,roles,caller_frontend,auditado
/api/public/buy-signal/{dev_id},GET,backend/routes/buy_signal.py,121,,sí,,,,,,
/api/public/ownership/{dev_id},GET,backend/routes/buy_signal.py,241,,sí,,,,,,
/api/comprador/alerts,GET,backend/routes/buyer_alerts.py,80,_require_buyer,sí,,,,,,
/api/comprador/alerts,POST,backend/routes/buyer_alerts.py,90,_require_buyer,sí,,,,,,
/api/comprador/alerts/{alert_id},PATCH,backend/routes/buyer_alerts.py,121,_require_buyer,sí,,,,,,
/api/comprador/alerts/{alert_id},DELETE,backend/routes/buyer_alerts.py,155,_require_buyer,sí,,,,,,
/api/comprador/alerts/deliveries,GET,backend/routes/buyer_alerts.py,166,_require_buyer,sí,,,,,,
/api/buyer-coach/start,POST,backend/routes/buyer_coach.py,61,,sí,,,,,,
/api/buyer-coach/{conversation_id}/message,POST,backend/routes/buyer_coach.py,76,,sí,,,,,,
/api/buyer-coach/{conversation_id}/stage/{n}/checklist,GET,backend/routes/buyer_coach.py,91,,sí,,,,,,
/api/buyer-coach/{conversation_id}/advance,POST,backend/routes/buyer_coach.py,111,,sí,,,,,,
/api/buyer-coach/{conversation_id}/zone-recommendations,GET,backend/routes/buyer_coach.py,124,,sí,,,,,,
/api/buyer-coach/{conversation_id}/capture-lead,POST,backend/routes/buyer_coach.py,139,,sí,,,,,,
/api/buyer-coach/similar-projects,GET,backend/routes/buyer_coach.py,157,,sí,,,,,,
/api/superadmin/buyer-score/summary,GET,backend/routes/buyer_score.py,32,,sí,,,,,,
/api/superadmin/buyer-score/per-user,GET,backend/routes/buyer_score.py,94,,sí,,,,,,
/api/superadmin/buyer-score/trigger-recompute,POST,backend/routes/buyer_score.py,155,,sí,,,,,,
/api/buyer/signal,POST,backend/routes/buyer_signals.py,140,,sí,,,,,,
/api/buyer/elasticidad,POST,backend/routes/buyer_signals.py,220,,sí,,,,,,
/api/desarrollo/{dev_id}/embudo-unidades,GET,backend/routes/buyer_signals.py,240,,sí,,,,,,
/api/desarrollo/{dev_id}/demanda-zona,GET,backend/routes/buyer_signals.py,266,,sí,,,,,,
/api/desarrollo/{dev_id}/interes,GET,backend/routes/buyer_signals.py,301,,sí,,,,,,
/api/buyer/mi-gusto,GET,backend/routes/buyer_signals.py,338,,sí,,,,,,
/api/buyer/experiencia-fotos/{dev_id},GET,backend/routes/buyer_signals.py,375,,sí,,,,,,
/api/buyer/experiencia-parallax/{dev_id},GET,backend/routes/buyer_signals.py,445,,sí,,,,,,
/api/buyer/donde-vivir,GET,backend/routes/buyer_signals.py,531,,sí,,,,,,
/api/buyer/demanda-mapa,GET,backend/routes/buyer_signals.py,602,,sí,,,,,,
/api/desarrollo/{dev_id}/percepcion,GET,backend/routes/buyer_signals.py,691,,sí,,,,,,
/api/desarrollo/{dev_id}/percepcion-unidades,GET,backend/routes/buyer_signals.py,725,,sí,,,,,,
/api/buyer/promote,POST,backend/routes/buyer_signals.py,965,,sí,,,,,,
/api/buyer/registrar,POST,backend/routes/buyer_signals.py,984,,sí,,,,,,
/api/buyer/claim,POST,backend/routes/buyer_signals.py,1006,,sí,,,,,,
