ruta,metodo,archivo,linea
/api/tax/predial-projection,POST,backend/routes/tax_projector.py,100
/api/tax/closing-cost-total,POST,backend/routes/tax_projector.py,109
/api/tax/full-scenario,GET,backend/routes/tax_projector.py,118
/api/tour-3dgs/settings/{dev_id},GET,backend/routes/tour_3dgs.py,237
/api/tour-3dgs/scans/{scan_id}/asset/{filename},GET,backend/routes/tour_3dgs.py,262
/api/tour-3dgs/scans/{scan_id}/thumbnail.png,GET,backend/routes/tour_3dgs.py,294
/api/tour-3dgs/embed/loaded,POST,backend/routes/tour_3dgs.py,317
/api/links/{slug}/click,GET,backend/routes/tracking_links.py,197
/api/v1/verticals/bank-avm,POST,backend/routes/vertical_products.py,132
/api/v1/verticals/insurance-risk,POST,backend/routes/vertical_products.py,167
/api/v1/verticals/notaria-title-check,POST,backend/routes/vertical_products.py,204
/api/v1/verticals/investor-yield,POST,backend/routes/vertical_products.py,250
/api/voice/transcribe,POST,backend/routes/voice.py,40
/api/voice/synthesize,POST,backend/routes/voice.py,82
/api/voice/{audio_id}/download,GET,backend/routes/voice.py,101
/api/watchlist/subscribe,POST,backend/routes/watchlist.py,117
/api/watchlist/confirm/{confirm_token},GET,backend/routes/watchlist.py,160
/api/watchlist/manage/{manage_token},GET,backend/routes/watchlist.py,179
/api/watchlist/manage/{manage_token},POST,backend/routes/watchlist.py,195
/api/watchlist/manage/{manage_token},DELETE,backend/routes/watchlist.py,224
/api/webhooks/whatsapp-inbound,POST,backend/routes/whatsapp.py,58
/api/widgets/score/{slug},GET,backend/routes/widgets.py,39
/api/widgets/risk/{slug},GET,backend/routes/widgets.py,107
/api/atlax/query,POST,backend/atlax_engine.py,179
/api/atlax/blocks,POST,backend/atlax_engine.py,490
/api/atlax/sessions/{session_id}/history,GET,backend/atlax_engine.py,527
/api/atlax/threads,GET,backend/atlax_engine.py,544
/api/atlax/threads/{thread_id}/messages,GET,backend/atlax_engine.py,567
/api/narrative/scenario,GET,backend/narrative_engine.py,339
/api/zones/{zone_id}/narrative,GET,backend/narrative_engine.py,575
/api/developments/{dev_id}/narrative,GET,backend/narrative_engine.py,587
/api/probability/{type},GET,backend/probability_engine.py,432
