coleccion,n_archivos,archivos
visit_requests,5,backend/cerebro/executors.py;backend/house_pool_engine.py;backend/routes/comprador.py;backend/routes/house_leads.py;scripts/seed_house_asesores.py
colonia_valoracion,5,backend/colonia_valoracion_engine.py;backend/gentrification_engine.py;backend/routes/mapa_capas.py;backend/routes/public.py;scripts/seed_colonia_valoracion.py
crime_zone_colonia,5,backend/crime_fgj_engine.py;backend/demand_intelligence.py;backend/engines_batch_geo.py;backend/studio_landing_atlax_adapter.py;backend/zone_subscores_compute.py
partner_offers,5,backend/cross_sell_engine.py;backend/routes/cross_sell.py;backend/routes/partners.py;scripts/qa_redteam.py;scripts/qa_sim.py
lead_capture_events,5,backend/fit_engine.py;backend/lead_capture_engine.py;backend/predictive_alerts_cron.py;backend/predictive_alerts_engine.py;backend/routes/lead_capture.py
whatsapp_messages,5,backend/notifications_engine.py;backend/routes/advisor.py;backend/routes/dev_batch4_1.py;backend/routes/whatsapp.py;backend/whatsapp_engine.py
ml_training_events,5,backend/observability.py;backend/probes/engagement.py;backend/routes/dev_batch6.py;backend/routes/dev_batch7_2.py;backend/routes/diagnostic.py
undo_log,5,backend/probes/batch17.py;backend/routes/dev_batch17.py;backend/routes/subagents.py;backend/routes/team_productivity.py;backend/tests/test_batch21.py
project_brokers,5,backend/probes/cross_portal.py;backend/routes/b13.py;backend/routes/dev_batch4.py;backend/routes/dev_broker_intel.py;backend/routes/diagnostic.py
ie_raw_observations,5,backend/rag_engine.py;backend/routes/ie_engine.py;backend/routes/scores.py;backend/scheduler_ie.py;backend/score_engine.py
dev_project_meta,5,backend/routes/badges.py;backend/routes/dev_batch1.py;backend/routes/dev_batch2.py;backend/routes/dev_batch3.py;backend/routes/public.py
engagement_events,5,backend/routes/dev_batch10.py;backend/routes/dev_insights_intel.py;backend/routes/marketplace_map.py;backend/services/colonia_intelligence.py;backend/services/insights_engagement.py
inmobiliaria_dev_partnerships,5,backend/routes/inmobiliaria.py;backend/services/directory_aggregator.py;backend/services/inmobiliaria_relationships.py;backend/services/lead_capture.py;backend/services/mini_market_engine.py
dev_orgs,5,backend/routes/superadmin_tenants.py;backend/services/directory_aggregator.py;backend/services/internal_users.py;backend/services/lead_capture.py;backend/services/mini_market_engine.py
visitor_identity,5,backend/services/visitor_identity.py;scripts/concurrent_load.py;scripts/e2e_cohort.py;scripts/flywheel_final.py;scripts/propagation_matrix.py
lead_recommendations,4,backend/agentic_crm/observability_engine.py;backend/lead_nurture_engine.py;backend/routes/subagents.py;backend/sub_agents/lead_agent.py
developer_organizations,4,backend/ai_cost_aggregations.py;backend/feature_flags_engine.py;backend/tenant_dev_map.py;backend/trial_expiry_cron.py
tasks,4,backend/ai_suggestions.py;backend/health_score.py;backend/routes/dev_batch14.py;backend/workflow_engine.py
bulk_ingest_jobs,4,backend/anomaly_detection_engine.py;backend/bulk_ingest_engine.py;backend/routes/bulk_ingest.py;backend/routes/superadmin_founder_console.py
predictive_alerts,4,backend/asistente_engine.py;backend/climate_migration_engine.py;backend/predictive_alerts_cron.py;backend/routes/predictive_alerts.py
marketplace_templates,4,backend/asistente_engine.py;backend/marketplace_templates_engine.py;backend/routes/marketplace_templates.py;backend/scripts/seed_w6_marketplace_templates.py
